BRAMKARZ,KLUB,słupek,poprzeczka,SUMA
Karol Niemczycki,Cracovia,5,6,11
Krzysztof Kamiński,Wisła Płock,4,5,9
Martin Chudy,Górnik Zabrze,7,1,8
Dusan Kuciak,Lechia Gdańsk,3,5,8
Dominik Holec,Raków Częstochowa,3,5,8
Frantisek Plach,Piast Gliwice,2,5,7
Martin Polacek,Podbeskidzie,3,4,7
Matus Putnocky,Śląsk Wrocław,3,4,7
Xavier Dziekoński,Jagiellonia,3,4,7
Michał Szromnik,Śląsk Wrocław,3,3,6
Rafał Strączek,Stal Mielec,2,3,5
Dominik Hładun,Zagłębie Lubin,1,3,4
Adrian Lis A,Warta Poznań,2,2,4
Pavels Steinbors,Jagiellonia,1,3,4
Michal Pesković,Podbeskidzie,1,3,4
Dante Stipica,Pogoń Szczecin,2,1,3
Daniel Bielica,Warta Poznań,0,3,3
Michał Gliwa,Stal Mielec,2,1,3
Artur Boruc,Legia Warszawa,1,1,2
Filip Bednarek,Lech Poznań,1,0,1
Mateusz Lis M,Wisła Kraków,1,0,1
Jakub Szumski,Raków Częstochowa,0,1,1
Damian Węglarz,Jagiellonia,1,0,1
Michał Buchalik,Wisła Kraków,0,1,1
Branislav Pindroch,Raków Częstochowa,0,1,1
Bartłomiej Gradecki,Wisła Płock,0,1,1
