ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Dominik Marczuk,Jagiellonia,6,11,17,0,0,1,6,23
Filip Marchwiński,Lech Poznań,8,5,13,0,1,2,2,15
Michał Rakoczy,Cracovia,6,5,11,1,0,1,4,15
Kajetan Szmyt,Warta Poznań,7,2,9,0,0,3,2,11
Dawid Drachal,Raków Częstochowa,3,3,6,0,0,0,2,8
Antoni Klimek,Widzew Łódź,3,3,6,0,2,1,4,10
Filip Szymczak,Lech Poznań,3,2,5,1,1,1,3,8
Łukasz Gerstenstein,Stal Mielec,2,2,4,0,1,0,1,5
Tomasz Wójtowicz,Ruch Chorzów,2,2,4,0,0,1,4,8
Adrian Przyborek,Pogoń Szczecin,1,3,4,0,1,0,0,4
Marcel Wędrychowski,Pogoń Szczecin,1,2,3,1,1,1,1,4
Kamil Lukoszek,Górnik Zabrze,3,0,3,0,0,1,4,7
Antoni Młynarczyk,ŁKS Łódź,1,2,3,1,1,0,2,5
Ariel Mosór,Piast Gliwice,1,1,2,0,0,0,1,3
Bartłomiej Kłudka,Zagłębie Lubin,1,1,2,0,0,0,0,2
Jakub Lewicki,Jagiellonia,2,0,2,2,0,0,1,3
Igor Strzałek,Legia/Stal,1,1,2,1,1,0,0,2
Jakub Konstantyn,Korona Kielce,1,1,2,1,1,0,1,3
Mariusz Fornalczyk,Pogoń/Korona,2,0,2,2,0,0,3,5
Arkadiusz Pyrka,Piast Gliwice,0,2,2,0,0,0,1,3
Filip Borowski,Warta Poznań,0,1,1,0,0,0,0,1
Gabriel Kirejczyk,Piast Gliwice,0,1,1,0,1,0,0,1
Łukasz Bejger,Śląsk Wrocław,1,0,1,0,0,1,1,2
Tomasz Pieńko,Zagłębie Lubin,0,1,1,0,0,0,2,3
Kacper Tobiasz,Legia Warszawa,0,1,1,0,0,0,0,1
Olaf Korczakowski,Pogoń Szczecin,0,1,1,0,1,0,0,1
Michał Gurgul,Lech Poznań,1,0,1,0,0,0,1,2
Kacper Śmiglewski,Cracovia,0,1,1,0,0,0,0,1
Filip Rózga,Cracovia,0,1,1,0,1,0,1,2
Jędrzej Zając,ŁKS Łódź,1,0,1,0,0,1,0,1
Patryk Paryzek,Pogoń Szczecin,1,0,1,1,0,0,0,1
Gabriel Kobylak,Radomiak Radom,1,0,1,0,0,0,0,1
Jakub Jezierski,Śląsk Wrocław,0,1,1,0,1,0,1,2
Jordan Majchrzak,Puszcza Niepołomice,1,0,1,0,0,1,0,1
Mateusz Żukowski,Śląsk Wrocław,1,0,1,1,0,0,0,1
Bartłomiej Barański,Ruch Chorzów,1,0,1,1,0,1,1,2
Filip Wilak,Ruch Chorzów,0,1,1,0,1,0,0,1
Aleksander Iwańczyk,ŁKS Łódź,1,0,1,1,0,0,0,1
Filip Przybułek,Widzew Łódź,0,0,0,0,0,0,1,1
Maciej Śliwa,ŁKS Łódź,0,0,0,0,0,0,1,1
