ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Lukas Hrosso,Cracovia,Bramkarz,51,0,"0,000",39,0,"0,000"
Sebastian Madejski,Cracovia,Bramkarz,27,0,"0,000",27,0,"0,000"
Adam Wilk,Cracovia,Bramkarz,11,0,"0,000",11,0,"0,000"
Eneo Bitri,Cracovia,Obrońca,10,1,"0,100",10,1,"0,100"
Virgil Ghita,Cracovia,Obrońca,73,7,"0,096",73,7,"0,096"
Kamil Glik,Cracovia,Obrońca,67,4,"0,060",13,2,"0,154"
Arttu Hoskonen,Cracovia,Obrońca,37,2,"0,054",37,2,"0,054"
David Jablonsky,Cracovia,Obrońca,52,3,"0,058",52,3,"0,058"
Paweł Jaroszyński,Cracovia,Obrońca,103,4,"0,039",103,4,"0,039"
Jakub Jugas,Cracovia,Obrońca,57,1,"0,018",57,1,"0,018"
Otar Kakabadze,Cracovia,Obrońca,69,6,"0,087",69,6,"0,087"
David Kristjan Olafsson,Cracovia,Obrońca,10,1,"0,100",10,1,"0,100"
Cornel Rapa,Cracovia,Obrońca,234,9,"0,038",179,8,"0,045"
Andreas Skovgaard,Cracovia,Obrońca,24,0,"0,000",24,0,"0,000"
Jani Atanasov,Cracovia,Pomocnik,47,6,"0,128",47,6,"0,128"
Mateusz Bochnak,Cracovia,Pomocnik,40,2,"0,050",40,2,"0,050"
Fabian Bzdyl,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Mathias Hebo Rasmussen,Cracovia,Pomocnik,40,3,"0,075",40,3,"0,075"
Karol Knap,Cracovia,Pomocnik,82,6,"0,073",82,6,"0,073"
Bartłomiej Kolec,Cracovia,Pomocnik,2,0,"0,000",2,0,"0,000"
Mikkel Maigaard,Cracovia,Pomocnik,14,0,"0,000",14,0,"0,000"
Kamil Ogorzały,Cracovia,Pomocnik,11,0,"0,000",11,0,"0,000"
Takuto Oshima,Cracovia,Pomocnik,60,1,"0,017",60,1,"0,017"
Michał Rakoczy,Cracovia,Pomocnik,96,17,"0,177",96,17,"0,177"
Filip Rózga,Cracovia,Pomocnik,13,0,"0,000",13,0,"0,000"
Patryk Sokołowski,Cracovia,Pomocnik,142,10,"0,070",14,0,"0,000"
Benjamin Kallman,Cracovia,Napastnik,67,15,"0,224",67,15,"0,224"
Patryk Makuch,Cracovia,Napastnik,69,10,"0,145",66,10,"0,152"
Kacper Śmiglewski,Cracovia,Napastnik,15,0,"0,000",15,0,"0,000"
Daniel Bielica,Górnik Z,Bramkarz,78,0,"0,000",73,0,"0,000"
Michał Szromnik,Górnik Z,Bramkarz,50,0,"0,000",0,0,-
Rafał Janicki,Górnik Z,Obrońca,353,12,"0,034",81,4,"0,049"
Erik Janza,Górnik Z,Obrońca,151,3,"0,020",151,3,"0,020"
Kamil Lukoszek,Górnik Z,Obrońca,26,3,"0,115",26,3,"0,115"
Boris Sekulić,Górnik Z,Obrońca,72,3,"0,042",72,3,"0,042"
Michal Siplak,Górnik Z,Obrońca,139,6,"0,043",13,1,"0,077"
Dominik Szala,Górnik Z,Obrońca,10,0,"0,000",10,0,"0,000"
Kryspin Szcześniak,Górnik Z,Obrońca,64,1,"0,016",39,1,"0,026"
Kostas Triantafyllopoulos,Górnik Z,Obrońca,112,5,"0,045",10,0,"0,000"
Norbert Barczak,Górnik Z,Pomocnik,5,0,"0,000",5,0,"0,000"
Szymon Czyż,Górnik Z,Pomocnik,55,4,"0,073",23,4,"0,174"
Lawrence Ennali,Górnik Z,Pomocnik,26,5,"0,192",26,5,"0,192"
Adrian Kapralik,Górnik Z,Pomocnik,30,7,"0,233",30,7,"0,233"
Krzysztof Kolanko,Górnik Z,Pomocnik,4,0,"0,000",4,0,"0,000"
Soichiro Kozuki,Górnik Z,Pomocnik,14,1,"0,071",14,1,"0,071"
Filipe Nascimento,Górnik Z,Pomocnik,52,4,"0,077",13,1,"0,077"
Paweł Olkowski,Górnik Z,Pomocnik,137,5,"0,036",137,5,"0,036"
Dani Pacheco,Górnik Z,Pomocnik,62,4,"0,065",62,4,"0,065"
Damian Rasak,Górnik Z,Pomocnik,198,10,"0,051",45,4,"0,089"
Piotr Krawczyk,Górnik Z,Napastnik,114,15,"0,132",114,15,"0,132"
Sebastian Musiolik,Górnik Z,Napastnik,123,13,"0,106",33,4,"0,121"
Lukas Podolski,Górnik Z,Napastnik,81,18,"0,222",81,18,"0,222"
Sławomir Abramowicz,Jagiellonia,Bramkarz,3,0,"0,000",3,0,"0,000"
Zlatan Alomerović,Jagiellonia,Bramkarz,125,0,"0,000",80,0,"0,000"
Bartłomiej Żynel,Jagiellonia,Bramkarz,9,0,"0,000",0,0,-
Adrian Dieguez,Jagiellonia,Obrońca,30,0,"0,000",30,0,"0,000"
Jetmir Haliti,Jagiellonia,Obrońca,6,0,"0,000",6,0,"0,000"
Jakub Lewicki,Jagiellonia,Obrońca,39,3,"0,077",39,3,"0,077"
Bojan Nastić,Jagiellonia,Obrońca,65,1,"0,015",65,1,"0,015"
Paweł Olszewski,Jagiellonia,Obrońca,49,0,"0,000",49,0,"0,000"
Michał Ozga,Jagiellonia,Obrońca,1,0,"0,000",1,0,"0,000"
Michal Sacek,Jagiellonia,Obrońca,47,1,"0,021",47,1,"0,021"
Mateusz Skrzypczak,Jagiellonia,Obrońca,61,4,"0,066",54,4,"0,074"
Dusan Stojinović,Jagiellonia,Obrońca,26,0,"0,000",26,0,"0,000"
Bartłomiej Wdowik,Jagiellonia,Obrońca,112,12,"0,107",112,12,"0,107"
Kristoffer Hansen,Jagiellonia,Pomocnik,49,12,"0,245",26,9,"0,346"
Jesus Imaz,Jagiellonia,Pomocnik,202,81,"0,401",155,67,"0,432"
Jarosław Kubicki,Jagiellonia,Pomocnik,268,16,"0,060",27,1,"0,037"
Tomasz Kupisz,Jagiellonia,Pomocnik,133,12,"0,090",133,12,"0,090"
Wojciech Łaski,Jagiellonia,Pomocnik,21,2,"0,095",21,2,"0,095"
Dominik Marczuk,Jagiellonia,Pomocnik,34,6,"0,176",34,6,"0,176"
Jose Naranjo,Jagiellonia,Pomocnik,29,6,"0,207",29,6,"0,207"
Aurelien Nguiamba,Jagiellonia,Pomocnik,20,0,"0,000",20,0,"0,000"
Taras Romanczuk,Jagiellonia,Pomocnik,303,28,"0,092",303,28,"0,092"
Nene,Jagiellonia,Pomocnik,63,14,"0,222",63,14,"0,222"
Damian Wojdakowski,Jagiellonia,Pomocnik,1,0,"0,000",1,0,"0,000"
Kaan Caliskaner,Jagiellonia,Napastnik,14,2,"0,143",14,2,"0,143"
Afimico Pululu,Jagiellonia,Napastnik,31,12,"0,387",31,12,"0,387"
Alan Rybak,Jagiellonia,Napastnik,3,0,"0,000",3,0,"0,000"
Krzysztof Toporkiewicz,Jagiellonia,Napastnik,9,0,"0,000",9,0,"0,000"
Vinicius Matheus,Jagiellonia,Napastnik,2,0,"0,000",2,0,"0,000"
Xavier Dziekoński,Korona,Bramkarz,57,0,"0,000",29,0,"0,000"
Konrad Forenc,Korona,Bramkarz,75,0,"0,000",25,0,"0,000"
Marius Briceag,Korona,Obrońca,32,0,"0,000",32,0,"0,000"
Marcus Godinho,Korona,Obrońca,36,1,"0,028",36,1,"0,028"
Piotr Malarczyk,Korona,Obrońca,248,14,"0,056",187,11,"0,059"
Kyryło Petrow,Korona,Obrońca,48,3,"0,063",48,3,"0,063"
Miłosz Trojak,Korona,Obrońca,75,3,"0,040",63,3,"0,048"
Dominick Zator,Korona,Obrońca,51,1,"0,020",51,1,"0,020"
Dawid Błanik,Korona,Pomocnik,70,4,"0,057",56,4,"0,071"
Mateusz Czyżycki,Korona,Pomocnik,54,2,"0,037",15,1,"0,067"
Mariusz Fornalczyk,Korona,Pomocnik,61,3,"0,049",11,0,"0,000"
Petteri Forsell,Korona,Pomocnik,81,18,"0,222",18,4,"0,222"
Yoav Hofmeister,Korona,Pomocnik,29,1,"0,034",29,1,"0,034"
Jakub Konstantyn,Korona,Pomocnik,22,1,"0,045",22,1,"0,045"
Fredrik Krogstad,Korona,Pomocnik,7,0,"0,000",7,0,"0,000"
Bartosz Kwiecień,Korona,Pomocnik,115,6,"0,052",38,1,"0,026"
Jakub Łukowski,Korona,Pomocnik,85,14,"0,165",43,12,"0,279"
Nono,Korona,Pomocnik,40,4,"0,100",40,4,"0,100"
Marcel Pięczek,Korona,Pomocnik,25,0,"0,000",11,0,"0,000"
Jacek Podgórski,Korona,Pomocnik,59,1,"0,017",59,1,"0,017"
Martin Remacle,Korona,Pomocnik,32,6,"0,188",32,6,"0,188"
Miłosz Strzeboński,Korona,Pomocnik,8,0,"0,000",8,0,"0,000"
Dalibor Takac,Korona,Pomocnik,49,0,"0,000",49,0,"0,000"
Danny Trejo,Korona,Pomocnik,13,2,"0,154",13,2,"0,154"
Daniel Bąk,Korona,Napastnik,5,0,"0,000",5,0,"0,000"
Adrian Dalmau,Korona,Napastnik,29,5,-,29,5,-
Hubert Szulc,Korona,Napastnik,1,0,"0,000",1,0,"0,000"
Jewgienij Szykawka,Korona,Napastnik,64,16,"0,250",64,16,"0,250"
Filip Bednarek,Lech,Bramkarz,70,0,"0,000",70,0,"0,000"
Bartosz Mrozek,Lech,Bramkarz,67,0,"0,000",31,0,"0,000"
Elias Andersson,Lech,Obrońca,23,0,"0,000",23,0,"0,000"
Miha Blazic,Lech,Obrońca,24,1,"0,042",24,1,"0,042"
Alan Czerwiński,Lech,Obrońca,167,4,"0,024",85,2,"0,024"
Filip Dagerstal,Lech,Obrońca,27,1,"0,037",27,1,"0,037"
Barry Douglas,Lech,Obrońca,104,4,"0,038",104,4,"0,038"
Michał Gurgul,Lech,Obrońca,13,1,"0,077",13,1,"0,077"
Antonio Milić,Lech,Obrońca,84,6,"0,071",84,6,"0,071"
Joel Pereira,Lech,Obrońca,91,2,"0,022",91,2,"0,022"
Bartosz Salamon,Lech,Obrońca,63,4,"0,063",63,4,"0,063"
Adriel Ba Loua,Lech,Pomocnik,70,5,"0,071",70,5,"0,071"
Maksymilian Dziuba,Lech,Pomocnik,3,0,"0,000",3,0,"0,000"
Ali Gholizadeh,Lech,Pomocnik,10,0,"0,000",10,0,"0,000"
Dino Hotić,Lech,Pomocnik,16,0,"0,000",16,0,"0,000"
Jesper Karlstrom,Lech,Pomocnik,109,4,"0,037",109,4,"0,037"
Nika Kwekweskiri,Lech,Pomocnik,91,5,"0,055",91,5,"0,055"
Filip Marchwiński,Lech,Pomocnik,125,19,"0,152",125,19,"0,152"
Radosław Murawski,Lech,Pomocnik,207,7,"0,034",82,3,"0,037"
Afonso Sousa,Lech,Pomocnik,42,4,"0,095",42,4,"0,095"
Kristoffer Velde,Lech,Pomocnik,71,18,"0,254",71,18,"0,254"
Mikael Ishak,Lech,Napastnik,100,52,"0,520",100,52,"0,520"
Norbert Pacławski,Lech,Napastnik,2,0,"0,000",2,0,"0,000"
Artur Sobiech,Lech,Napastnik,152,37,"0,243",38,3,"0,079"
Filip Szymczak,Lech,Napastnik,66,5,"0,076",66,5,"0,076"
Dominik Hładun,Legia,Bramkarz,127,0,"0,000",18,0,"0,000"
Kacper Tobiasz,Legia,Bramkarz,54,0,"0,000",54,0,"0,000"
Rafał Augustyniak,Legia,Obrońca,93,7,"0,075",47,5,"0,106"
Marco Burch,Legia,Obrońca,7,0,"0,000",7,0,"0,000"
Artur Jędrzejczyk,Legia,Obrońca,287,9,"0,031",276,8,"0,029"
Steve Kapuadi,Legia,Obrońca,49,1,"0,020",23,1,"0,043"
Radovan Pankov,Legia,Obrońca,25,2,"0,080",25,2,"0,080"
Yuri Ribeiro,Legia,Obrońca,63,1,"0,016",63,1,"0,016"
Jan Ziółkowski,Legia,Obrońca,3,0,"0,000",3,0,"0,000"
Jurgen Celhaka,Legia,Pomocnik,41,0,"0,000",41,0,"0,000"
Gil Dias,Legia,Pomocnik,17,0,"0,000",17,0,"0,000"
Juergen Elitim,Legia,Pomocnik,33,1,"0,030",33,1,"0,030"
Josue,Legia,Pomocnik,94,23,"0,245",94,23,"0,245"
Bartosz Kapustka,Legia,Pomocnik,136,13,"0,096",76,7,"0,092"
Patryk Kun,Legia,Pomocnik,159,7,"0,044",27,1,"0,037"
Ryoya Morishita,Legia,Pomocnik,13,0,"0,000",13,0,"0,000"
Filip Rejczyk,Legia,Pomocnik,6,0,"0,000",6,0,"0,000"
Wojciech Urbański,Legia,Pomocnik,6,0,"0,000",6,0,"0,000"
Paweł Wszołek,Legia,Pomocnik,185,35,"0,189",125,26,"0,208"
Qendrim Zyba,Legia,Pomocnik,6,0,"0,000",6,0,"0,000"
Marc Gual,Legia,Napastnik,71,26,"0,366",33,8,"0,242"
Blaz Kramer,Legia,Napastnik,30,5,"0,167",30,5,"0,167"
Tomas Pekhart,Legia,Napastnik,104,49,"0,471",104,49,"0,471"
Maciej Rosołek,Legia,Napastnik,93,13,"0,140",93,13,"0,140"
Dawid Arndt,ŁKS,Bramkarz,9,0,"0,000",9,0,"0,000"
Aleksander Bobek,ŁKS,Bramkarz,27,0,"0,000",27,0,"0,000"
Michał Kołba,ŁKS,Bramkarz,7,0,"0,000",7,0,"0,000"
Mateusz Bąkowicz,ŁKS,Obrońca,1,0,"0,000",1,0,"0,000"
Kamil Dankowski,ŁKS,Obrońca,123,1,"0,008",30,0,"0,000"
Riza Durmisi,ŁKS,Obrońca,11,0,"0,000",11,0,"0,000"
Marcin Flis,ŁKS,Obrońca,114,4,"0,035",17,0,"0,000"
Piotr Głowacki,ŁKS,Obrońca,28,0,"0,000",28,0,"0,000"
Levent Gulen,ŁKS,Obrońca,45,0,"0,000",18,0,"0,000"
Oskar Koprowski,ŁKS,Obrońca,4,0,"0,000",4,0,"0,000"
Adrien Louveau,ŁKS,Obrońca,23,0,"0,000",23,0,"0,000"
Rahil Mammadov,ŁKS,Obrońca,16,0,"0,000",16,0,"0,000"
Adam Marciniak,ŁKS,Obrońca,287,10,"0,035",37,1,"0,027"
Artemijus Tutyskinas,ŁKS,Obrońca,11,1,"0,091",11,1,"0,091"
Husein Balić,ŁKS,Pomocnik,13,3,"0,231",13,3,"0,231"
Thiago Ceijas,ŁKS,Pomocnik,8,0,"0,000",8,0,"0,000"
Engjell Hoti,ŁKS,Pomocnik,30,4,"0,133",30,4,"0,133"
Aleksander Iwańczyk,ŁKS,Pomocnik,2,1,"0,500",2,1,"0,500"
Jakub Letniowski,ŁKS,Pomocnik,14,0,"0,000",14,0,"0,000"
Jan Łabędzki,ŁKS,Pomocnik,3,0,"0,000",3,0,"0,000"
Antoni Młynarczyk,ŁKS,Pomocnik,17,1,"0,059",17,1,"0,059"
Michał Mokrzycki,ŁKS,Pomocnik,33,0,"0,000",29,0,"0,000"
Dani Ramirez,ŁKS,Pomocnik,124,26,"0,210",52,15,"0,288"
Bartosz Szeliga,ŁKS,Pomocnik,147,12,"0,082",29,0,"0,000"
Maciej Śliwa,ŁKS,Pomocnik,26,2,"0,077",13,0,"0,000"
Pirulo,ŁKS,Pomocnik,54,2,"0,037",54,2,"0,037"
Yadegar Rostami,ŁKS,Pomocnik,4,0,"0,000",1,0,"0,000"
Jędrzej Zając,ŁKS,Pomocnik,6,1,"0,167",6,1,"0,167"
Piotr Janczukowicz,ŁKS,Napastnik,28,2,"0,071",28,2,"0,071"
Stipe Jurić,ŁKS,Napastnik,20,4,"0,200",20,4,"0,200"
Oliwier Sławiński,ŁKS,Napastnik,4,0,"0,000",1,0,"0,000"
Kay Tejan,ŁKS,Napastnik,30,7,"0,233",30,7,"0,233"
Frantisek Plach,Piast,Bramkarz,187,0,"0,000",187,0,"0,000"
Karol Szymański,Piast,Bramkarz,10,0,"0,000",8,0,"0,000"
Jakub Czerwiński,Piast,Obrońca,237,13,"0,055",185,11,"0,059"
Jakub Holubek,Piast,Obrońca,85,1,"0,012",85,1,"0,012"
Tomas Huk,Piast,Obrońca,87,4,"0,046",87,4,"0,046"
Piotr Liszewski,Piast,Obrońca,2,0,"0,000",2,0,"0,000"
Tomasz Mokwa,Piast,Obrońca,98,2,"0,020",98,2,"0,020"
Ariel Mosór,Piast,Obrońca,87,2,"0,023",85,2,"0,024"
Miguel Munoz,Piast,Obrońca,18,0,"0,000",18,0,"0,000"
Arkadiusz Pyrka,Piast,Obrońca,118,4,"0,034",118,4,"0,034"
Michael Ameyaw,Piast,Pomocnik,77,10,"0,130",77,10,"0,130"
Michał Chrapek,Piast,Pomocnik,300,27,"0,090",114,10,"0,088"
Patryk Dziczek,Piast,Pomocnik,117,15,"0,128",117,15,"0,128"
Jorge Felix,Piast,Pomocnik,127,32,"0,252",127,32,"0,252"
Walerian Gwilia,Piast,Pomocnik,94,9,"0,096",2,0,"0,000"
Tom Hateley,Piast,Pomocnik,214,7,"0,033",143,6,"0,042"
Filip Karbowy,Piast,Pomocnik,1,0,"0,000",1,0,"0,000"
Damian Kądzior,Piast,Pomocnik,119,21,"0,176",79,11,"0,139"
Tihomir Kostadinov,Piast,Pomocnik,23,0,"0,000",23,0,"0,000"
Serhij Krykun,Piast,Pomocnik,57,3,"0,053",25,3,"0,120"
Oskar Leśniak,Piast,Pomocnik,1,0,"0,000",1,0,"0,000"
Szczepan Mucha,Piast,Pomocnik,6,0,"0,000",6,0,"0,000"
Miłosz Szczepański,Piast,Pomocnik,92,7,"0,076",26,0,"0,000"
Grzegorz Tomasiewicz,Piast,Pomocnik,128,16,"0,125",66,5,"0,076"
Fabian Piasecki,Piast,Napastnik,137,20,"0,146",9,2,"0,222"
Piotr Urbański,Piast,Napastnik,3,0,"0,000",3,0,"0,000"
Kamil Wilczek,Piast,Napastnik,200,54,"0,270",158,52,"0,329"
Valentin Cojocaru,Pogoń,Bramkarz,27,0,"0,000",27,0,"0,000"
Bartosz Klebaniuk,Pogoń,Bramkarz,10,0,"0,000",10,0,"0,000"
Leo Borges,Pogoń,Obrońca,39,1,"0,026",39,1,"0,026"
Leonardo Koutris,Pogoń,Obrońca,49,3,"0,061",49,3,"0,061"
Wojciech Lisowski,Pogoń,Obrońca,22,0,"0,000",18,0,"0,000"
Danijel Loncar,Pogoń,Obrońca,21,1,"0,048",21,1,"0,048"
Mariusz Malec,Pogoń,Obrońca,120,1,"0,008",120,1,"0,008"
Linus Wahlqvist,Pogoń,Obrońca,44,0,"0,000",44,0,"0,000"
Benedikt Zech,Pogoń,Obrońca,138,0,"0,000",138,0,"0,000"
Wahan Biczachczjan,Pogoń,Pomocnik,78,13,"0,167",78,13,"0,167"
Joao Gamboa,Pogoń,Pomocnik,29,0,"0,000",29,0,"0,000"
Alexander Gorgon,Pogoń,Pomocnik,74,16,"0,216",74,16,"0,216"
Kamil Grosicki,Pogoń,Pomocnik,186,52,"0,280",117,37,"0,316"
Olaf Korczakowski,Pogoń,Pomocnik,6,0,"0,000",6,0,"0,000"
Rafał Kurzawa,Pogoń,Pomocnik,151,7,"0,046",75,4,"0,053"
Adrian Przyborek,Pogoń,Pomocnik,25,1,"0,040",25,1,"0,040"
Kacper Smoliński,Pogoń,Pomocnik,48,4,"0,083",48,4,"0,083"
Fredrik Ulvestad,Pogoń,Pomocnik,26,6,"0,231",26,6,"0,231"
Marcel Wędrychowski,Pogoń,Pomocnik,59,3,"0,051",41,2,"0,049"
Efthymis Koulouris,Pogoń,Napastnik,34,12,"0,353",34,12,"0,353"
Patryk Paryzek,Pogoń,Napastnik,6,1,"0,167",6,1,"0,167"
Luka Zahović,Pogoń,Napastnik,106,20,"0,189",106,20,"0,189"
Kewin Komar,Puszcza,Bramkarz,6,0,"0,000",6,0,"0,000"
Krzysztof Wróblewski,Puszcza,Bramkarz,2,0,"0,000",2,0,"0,000"
Oliwier Zych,Puszcza,Bramkarz,26,0,"0,000",26,0,"0,000"
